subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPlate	RTlate	KPs	RT	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
2	2.000	1.000	48.000	572.000	567.081	569.755	570.433	nan	nan	9,9,	571.617,571.932,	9.000	573.435	-107.000	428.000	-321.000	214.000	1.696	0.678	3.608	
2	2.000	1.000	49.000	572.000	577.071	578.690	579.305	nan	nan	9,	581.033,	9.000	582.307	-321.000	214.000	-428.000	321.000	0.645	0.616	3.897	
2	2.000	1.000	50.000	572.000	586.250	589.009	590.493	nan	nan	8,8,8,	591.015,591.360,591.978,	8.000	593.495	-428.000	214.000	-107.000	214.000	1.802	1.484	2.232	
2	2.000	1.000	51.000	572.000	595.779	598.622	600.207	nan	nan	8,8,8,8,	601.087,601.459,601.732,601.994,	8.000	603.209	-107.000	321.000	-321.000	107.000	1.894	1.585	3.807	
2	2.000	1.000	52.000	572.000	607.067	608.533	610.065	nan	nan	8,8,8,8,8,8,	610.295,610.560,610.863,611.172,611.494,611.845,	8.000	613.067	-321.000	214.000	-214.000	321.000	0.514	1.532	2.090	
2	2.000	1.000	53.000	572.000	615.208	617.455	618.673	nan	nan	9,9,9,9,	618.840,619.109,619.364,619.588,	9.000	621.674	-214.000	321.000	-321.000	107.000	1.296	1.219	3.305	
2	2.000	1.000	54.000	572.000	625.005	627.794	629.673	nan	nan	8,8,8,	629.980,630.177,630.436,	8.000	632.674	-428.000	214.000	-321.000	428.000	1.812	1.879	2.733	
2	2.000	1.000	55.000	572.000	635.429	637.180	637.843	nan	nan	9,9,	639.293,639.620,	9.000	640.845	-214.000	107.000	-428.000	321.000	0.770	0.664	3.891	
2	2.000	1.000	56.000	572.000	644.779	646.913	647.808	nan	nan	8,8,8,	648.818,649.464,649.773,	8.000	650.810	-214.000	107.000	-107.000	321.000	1.175	0.895	2.945	
2	2.000	1.000	57.000	572.000	653.804	656.681	658.019	nan	nan	8,8,8,8,8,	658.247,658.538,658.848,659.201,659.793,	8.000	661.021	-107.000	214.000	-428.000	428.000	1.923	1.339	3.826	
2	2.000	1.000	58.000	572.000	664.873	667.324	667.934	nan	nan	9,9,9,9,9,	668.344,668.647,668.911,669.176,669.484,	9.000	670.936	-214.000	428.000	-428.000	321.000	1.474	0.611	2.669	
2	2.000	1.000	59.000	572.000	673.635	676.240	677.073	nan	nan	8,8,8,	677.859,678.190,678.781,	8.000	680.074	-428.000	214.000	-214.000	107.000	1.633	0.833	3.498	
2	2.000	1.000	60.000	572.000	683.614	686.537	687.167	nan	nan	8,8,8,8,8,	687.644,687.963,688.269,688.638,689.054,	8.000	690.168	-214.000	107.000	-107.000	428.000	1.961	0.630	3.704	
2	2.000	1.000	61.000	572.000	693.918	695.900	696.631	nan	nan	8,8,8,8,	697.400,697.759,698.066,698.390,	8.000	699.633	-214.000	107.000	-428.000	428.000	1.026	0.732	2.270	
2	2.000	1.000	62.000	572.000	701.934	704.722	705.458	nan	nan	9,9,9,9,	706.492,706.809,707.111,707.406,	9.000	708.459	-214.000	428.000	-321.000	321.000	1.817	0.736	2.830	
2	2.000	1.000	63.000	572.000	711.348	713.071	714.415	nan	nan	9,9,9,9,9,	714.702,714.980,715.237,715.482,715.695,	9.000	717.417	-107.000	428.000	-428.000	214.000	0.780	1.344	2.418	
2	2.000	1.000	64.000	572.000	719.863	722.109	722.714	nan	nan	8,	724.713,	8.000	725.720	-107.000	321.000	-214.000	428.000	1.272	0.606	3.312	
2	2.000	1.000	65.000	572.000	729.056	731.238	732.953	nan	nan	8,8,8,8,	733.192,733.442,733.733,734.104,	8.000	735.955	-428.000	214.000	-107.000	321.000	1.204	1.715	2.740	
2	2.000	1.000	66.000	572.000	738.721	741.388	741.945	nan	nan	9,	743.615,	9.000	744.947	-428.000	428.000	-321.000	214.000	1.691	0.558	2.186	
